Author,Genres
P. D. James,Crime Fiction
Agatha Christie,Crime Fiction
Fyodor Dostoevsky,Crime Fiction
Margery Allingham,Crime Fiction
Alexander McCall Smith,Crime Fiction
Agatha Christie,Crime Fiction
Agatha Christie,Crime Fiction
Ruth Rendell,Crime Fiction
Lindsey Davis,Crime Fiction
Jeff Lindsay,Crime Fiction
Peter Robinson,Crime Fiction
Michael Connelly,Crime Fiction
Maj Sjöwall and Per Wahlöö,Crime Fiction
Arturo Pérez-Reverte,Crime Fiction
Lindsey Davis,Crime Fiction
J. D. Robb,Crime Fiction
Ed Falco,Crime Fiction
Barbara Vine (Ruth Rendell),Crime Fiction
Al Fray,Crime Fiction
Ruth Rendell,Crime Fiction
Thomas E. GaddisJames O. Long,Crime Fiction
Lindsey Davis,Crime Fiction
Ruth Rendell,Crime Fiction
Lindsey Davis,Crime Fiction
Janet Evanovich,Crime Fiction
Agatha Christie,Crime Fiction
Ruth Rendell,Crime Fiction
K. C. Constantine,Crime Fiction
China Miéville,Crime Fiction
Kathy Reichs,Crime Fiction
H. R. F. Keating,Crime Fiction
Agatha Christie,Crime Fiction
Colin Bateman,Crime Fiction
George Pelecanos,Crime Fiction
Laurie R. King,Crime Fiction
Ian Rankin,Crime Fiction
Agatha Christie,Crime Fiction
Friedrich Dürrenmatt,Crime Fiction
Agatha Christie,Crime Fiction
Peter Robinson,Crime Fiction
Tim Dorsey,Crime Fiction
Håkan Nesser,Crime Fiction
Martin Cruz Smith,Crime Fiction
Agatha Christie,Crime Fiction
Agatha Christie,Crime Fiction
Michael Connelly,Crime Fiction
Evan Hunter(as Ed McBain),Crime Fiction
Mickey Spillane,Crime Fiction
Agatha Christie,Crime Fiction
Agatha Christie,Crime Fiction
Agatha Christie,Crime Fiction
Jill Paton Walsh,Crime Fiction
James Ellroy,Crime Fiction
Ruth Rendell,Crime Fiction
Agatha Christie,Crime Fiction
Dennis Lehane,Crime Fiction
Agatha Christie,Crime Fiction
Ruth Rendell,Crime Fiction
Anthony Horowitz,Crime Fiction
Margery Allingham,Crime Fiction
Michael Dibdin,Crime Fiction
